date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,score1_digit,score2_digit,result1
10/18/15,2015,0,0,SEA,CAR,1635.680315,1587.022995,0.65797073,23,27,3,7,0
10/18/15,2015,0,0,GB,LAC,1678.132012,1489.205471,0.8117954,27,20,7,0,1
10/18/15,2015,0,0,SF,BAL,1469.535575,1517.946094,0.523856055,25,20,5,0,1
10/18/15,2015,0,0,IND,NE,1549.390744,1722.346004,0.349453919,27,34,7,4,0
10/19/15,2015,0,0,PHI,NYG,1534.474874,1523.266577,0.607946893,27,7,7,7,1
10/22/15,2015,0,0,SF,SEA,1486.470582,1613.347275,0.411881958,3,20,3,0,0
10/25/15,2015,1,0,JAX,BUF,1309.829557,1512.075206,0.237901418,34,31,4,1,1
10/25/15,2015,0,0,DET,MIN,1455.149966,1520.012278,0.500198149,19,28,9,8,0
10/25/15,2015,0,0,NE,NYJ,1736.199581,1515.203963,0.838393489,30,23,0,3,1
10/25/15,2015,0,0,TEN,ATL,1319.119874,1533.627244,0.297206985,7,10,7,0,0
10/25/15,2015,0,0,WSH,TB,1371.280343,1356.237721,0.613195016,31,30,1,0,1
10/25/15,2015,0,0,KC,PIT,1484.544233,1611.439075,0.411856652,23,13,3,3,1
10/25/15,2015,0,0,IND,NO,1535.537167,1462.169199,0.689227454,21,27,1,7,0
10/25/15,2015,0,0,MIA,HOU,1457.601404,1461.09855,0.587596654,44,26,4,6,1
10/25/15,2015,0,0,LAR,CLE,1457.216145,1402.641558,0.66559458,24,6,4,6,1
10/25/15,2015,0,0,LAC,OAK,1482.188203,1397.787588,0.702664639,29,37,9,7,0
10/25/15,2015,0,0,NYG,DAL,1500.19354,1528.039503,0.553266068,27,20,7,0,1
10/25/15,2015,0,0,CAR,PHI,1609.356034,1557.547911,0.662040711,27,16,7,6,1
10/26/15,2015,0,0,ARI,BAL,1590.189181,1501.011087,0.708378217,26,18,6,8,1
10/29/15,2015,0,0,NE,MIA,1742.147402,1481.226864,0.867168216,36,7,6,7,1
11/1/15,2015,1,0,KC,DET,1513.566879,1432.113548,0.615119359,45,10,5,0,1
11/1/15,2015,0,0,NO,NYG,1490.792971,1518.464125,0.553514769,52,49,2,9,1
11/1/15,2015,0,0,HOU,TEN,1437.47309,1311.403908,0.750238112,20,6,0,6,1
11/1/15,2015,0,0,BAL,LAC,1489.035197,1449.060265,0.64663587,29,26,9,6,1
11/1/15,2015,0,0,PIT,CIN,1582.416428,1646.772952,0.500926035,10,16,0,6,0
11/1/15,2015,0,0,ATL,TB,1541.34321,1351.063711,0.812982429,20,23,0,3,0
11/1/15,2015,0,0,CHI,MIN,1386.22156,1543.048696,0.370843596,20,23,0,3,0
11/1/15,2015,0,0,CLE,ARI,1383.963995,1602.165071,0.292784977,20,34,0,4,0
11/1/15,2015,0,0,LAR,SF,1475.893708,1463.312092,0.609829522,27,6,7,6,1
11/1/15,2015,0,0,OAK,NYJ,1430.915525,1509.256142,0.480810738,34,20,4,0,1
11/1/15,2015,0,0,DAL,SEA,1509.768918,1636.505764,0.412076977,12,13,2,3,0
11/1/15,2015,0,0,DEN,GB,1673.253241,1685.14928,0.575833129,29,10,9,0,1
11/2/15,2015,0,0,CAR,IND,1625.305167,1506.913395,0.741865636,29,26,9,6,1
11/5/15,2015,0,0,CIN,CLE,1666.273797,1369.138844,0.889398954,31,10,1,0,1
11/8/15,2015,0,0,NE,WSH,1750.017259,1376.454353,0.925846489,27,10,7,0,1
11/8/15,2015,0,0,NYJ,JAX,1480.964774,1333.098529,0.773004839,28,23,8,3,1
11/8/15,2015,0,0,NO,TEN,1502.965629,1298.957518,0.824702064,28,34,8,4,0
11/8/15,2015,0,0,CAR,GB,1631.911471,1660.334457,0.552444944,37,29,7,9,1
11/8/15,2015,0,0,MIN,LAR,1552.918693,1499.192752,0.664506362,21,18,1,8,1
11/8/15,2015,0,0,BUF,MIA,1488.806234,1473.357007,0.61375003,33,17,3,7,1
11/8/15,2015,0,0,PIT,OAK,1562.915583,1459.206894,0.725351702,38,35,8,5,1
11/8/15,2015,0,0,SF,ATL,1440.013048,1515.843685,0.484418508,17,16,7,6,1
11/8/15,2015,0,0,TB,NYG,1376.563237,1506.291467,0.407911556,18,32,8,2,0
11/8/15,2015,0,0,IND,DEN,1500.307091,1698.068064,0.317727814,27,24,7,4,1
11/8/15,2015,0,0,DAL,PHI,1504.21225,1541.598778,0.539655518,27,33,7,3,0
11/9/15,2015,0,0,LAC,CHI,1439.709129,1376.351562,0.676752108,19,22,9,2,0
11/12/15,2015,0,0,NYJ,BUF,1488.38156,1509.920695,0.562221013,17,22,7,2,0
11/15/15,2015,0,0,TEN,CAR,1335.52475,1651.257406,0.191029715,10,27,0,7,0
